COLLISION_ID,VIN,DEVICE_ID,UPLOAD_TIMESTAMP,BLOCK_NAME,TIMESTAMP,CAN_ID,CAN_DATA,CAN_DATA_LENGTH,CAN_MILLISEC,CAN_RESERVED
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x90,0x1f6020002030096,8,0,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0xaa,0x28a228902889288b,8,0,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x115,0x298bdc5f4,8,0,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x90,0x1f6020002030096,8,10,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x25,0x30000c00000f0,8,10,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0xaa,0x28a4289b28912891,8,10,0
ff50c97d46b15e7105cc41791e7efa8b5d384d4896645c3d083aa5b218b88d79,d083aa5b218b88d79,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x116,0x262d00009b2bb07a,8,0,0
bd62d5babde9fd4a4413235f4fb7899b2e39f2dc544fdd892f59b2f980aef577,92f59b2f980aef577,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0x90,0x1f5020102030096,8,20,0
bd62d5babde9fd4a4413235f4fb7899b2e39f2dc544fdd892f59b2f980aef577,92f59b2f980aef577,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0xaa,0x28ab289828922891,8,20,0
bd62d5babde9fd4a4413235f4fb7899b2e39f2dc544fdd892f59b2f980aef577,92f59b2f980aef577,357548000000000,2024-09-10 23:39:46.000,block0,2024-09-10 23:39:34.000,0xd7,0x280e480e2100008c,8,10,0
