ID,VIN,UUID,CONSENT_SOURCE,ENTRY_CREATED_DATE,ENTRY_LAST_UPDATED_DATE,PURPOSE_NAME,PURPOSE_STATUS,PURPOSE_CUSTOM_PREFERENCES,PURPOSE_TYPES,PURPOSE_CONSENT_WITHDRAWAL_DATE,PURPOSE_CONSENT_DATE,PURPOSE_LAST_UPDATED_DATE,PURPOSE_LAST_INTERACTION_DATE
9146c266-5a4d-4034-88e1-5769231c63f9,97d8b62c311ae055c,da3a25af-394e-4590-a379-78e91925eb36,oneApp,2024-05-30 10:22:17.190,2024-05-30 10:22:17.293,Integrating our partners (CS) - TMI,ACTIVE,"[
  {
    ""id"": ""dfd6d92a-a364-41cb-87dd-3a459bc47805"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_thirdparty""
]",,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107
9146c266-5a4d-4034-88e1-5769231c63f9,85bc19ddc6d0a0f5a,da3a25af-394e-4590-a379-78e91925eb36,oneApp,2024-05-30 10:22:17.190,2024-05-30 10:22:17.293,Personalising our service (CS) - TMI,ACTIVE,"[
  {
    ""id"": ""6052bb17-4813-426b-a9b4-b1086bd69df5"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_profiling""
]",,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107
9146c266-5a4d-4034-88e1-5769231c63f9,a39426afc6c9f5a19,da3a25af-394e-4590-a379-78e91925eb36,oneApp,2024-05-30 10:22:17.190,2024-05-30 10:22:17.293,Personalised Vehicle Support (CS) - TMI,ACTIVE,"[
  {
    ""id"": ""4e0ab947-dbdc-4a53-87b3-ba508d89abf0"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_ecare""
]",,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107
9146c266-5a4d-4034-88e1-5769231c63f9,7ee49ac6b4ebf241e,da3a25af-394e-4590-a379-78e91925eb36,oneApp,2024-05-30 10:22:17.190,2024-05-30 10:22:17.293,Enhancing our products (CS) - TMI,ACTIVE,"[
  {
    ""id"": ""5833aa4f-827b-4d1e-a636-c3b07c9ab448"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_research""
]",,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107,2024-05-30 10:22:17.107
48e687f7-ce20-4d23-8045-9d050e4f2163,be41f3b04a7a668c0,db749ad8-7f05-4594-a923-473ef95f3b25,oneApp,2024-06-18 11:35:46.527,2024-08-16 12:36:07.297,Enhancing our products (CS) - TES,ACTIVE,"[
  {
    ""id"": ""a432bcc6-a308-4359-a2bb-7a43babd551b"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_research""
]",,2024-08-16 12:36:07.220,2024-06-18 11:35:46.437,2024-08-16 12:36:07.220
48e687f7-ce20-4d23-8045-9d050e4f2163,04bbf9b500dffa8e3,db749ad8-7f05-4594-a923-473ef95f3b25,oneApp,2024-06-18 11:35:46.527,2024-08-16 12:36:07.297,Personalising our service (CS) - TES,ACTIVE,"[
  {
    ""id"": ""aa8e5bcc-77e3-4067-9a92-0e1ecb42cd47"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_profiling""
]",,2024-08-16 12:36:07.220,2024-06-18 11:35:46.437,2024-08-16 12:36:07.220
48e687f7-ce20-4d23-8045-9d050e4f2163,6a2bc0a64eb4d3efb,db749ad8-7f05-4594-a923-473ef95f3b25,oneApp,2024-06-18 11:35:46.527,2024-08-16 12:36:07.297,Personalised Vehicle Support (CS) - TES,ACTIVE,"[
  {
    ""id"": ""e0f8f473-c03e-45f7-9e2c-134c63632544"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_ecare""
]",,2024-08-16 12:36:07.220,2024-06-18 11:35:46.437,2024-08-16 12:36:07.220
48e687f7-ce20-4d23-8045-9d050e4f2163,c6ee5b1c351ad685d,db749ad8-7f05-4594-a923-473ef95f3b25,oneApp,2024-06-18 11:35:46.527,2024-08-16 12:36:07.297,Improving our communications (CS) - TES,ACTIVE,"[
  {
    ""id"": ""7ae2ab90-dc15-44d4-89c6-6c7f829160fb"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_marketing""
]",,2024-08-16 12:36:07.220,2024-06-18 11:35:46.437,2024-08-16 12:36:07.220
48e687f7-ce20-4d23-8045-9d050e4f2163,be41f3b04a7a668c0,db749ad8-7f05-4594-a923-473ef95f3b25,oneApp,2024-06-18 11:35:46.527,2024-08-16 12:36:07.297,Integrating our partners (CS) - TES,ACTIVE,"[
  {
    ""id"": ""d77ac76f-413e-448f-8b38-e17e3484cb00"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_thirdparty""
]",,2024-08-16 12:36:07.220,2024-06-18 11:35:46.437,2024-08-16 12:36:07.220
7a7a6b2a-7c95-4d63-a66d-820ce1d049c0,9982fd6aedc8f4ad5,31df7d0c-f388-4521-993e-bae9871c0793,oneApp,2024-07-15 12:10:42.943,2024-07-15 12:10:43.010,Enhancing our products (CS) - TIR,ACTIVE,"[
  {
    ""id"": ""80315bc6-d3d5-4f47-9741-cd55e5d9440c"",
    ""name"": ""Brand"",
    ""options"": [
      {
        ""id"": ""ee1f51bb-1fa4-4bdc-941a-55e9c6e1717c"",
        ""name"": ""Toyota"",
        ""is_consented"": true
      }
    ]
  }
]","[
  ""cs_research""
]",,2024-07-15 12:10:42.887,2024-07-15 12:10:42.887,2024-07-15 12:10:42.887
